,date,TICKER,PRC,PRC moving average 20
332,20010427,EWST,9.7,9.99875
333,20010430,EWST,9.75,9.98625
334,20010501,EWST,9.85,9.97875
335,20010502,EWST,9.85,9.958749999999998
336,20010503,EWST,10.0,9.958749999999998
337,20010504,EWST,9.72,9.929124999999999
338,20010507,EWST,9.8,9.909749999999999
339,20010508,EWST,9.7,9.887249999999998
340,20010509,EWST,9.95,9.889749999999998
341,20010510,EWST,9.75,9.882249999999997
342,20010511,EWST,9.95,9.884749999999997
343,20010514,EWST,9.95,9.887249999999996
344,20010515,EWST,9.98,9.894999999999996
345,20010516,EWST,9.99,9.904499999999995
346,20010517,EWST,10.5,9.919499999999996
347,20010518,EWST,10.49,9.956499999999997
348,20010521,EWST,10.49,9.975999999999997
349,20010522,EWST,10.42,9.991999999999997
350,20010523,EWST,10.5,10.021999999999997
351,20010524,EWST,11.25,10.079499999999998
352,20010525,EWST,11.0,10.144499999999997
353,20010529,EWST,10.5,10.181999999999999
354,20010530,EWST,10.75,10.226999999999999
355,20010531,EWST,10.7,10.269499999999997
356,20010601,EWST,10.75,10.306999999999999
357,20010604,EWST,10.65,10.353499999999999
358,20010605,EWST,11.5,10.438499999999998
359,20010606,EWST,10.795,10.493249999999998
360,20010607,EWST,10.5,10.520749999999998
361,20010608,EWST,11.25,10.595749999999999
362,20010611,EWST,11.0,10.648249999999999
363,20010612,EWST,11.25,10.713249999999999
364,20010613,EWST,11.5,10.78925
365,20010614,EWST,11.0,10.839749999999999
366,20010615,EWST,11.0,10.864749999999999
367,20010618,EWST,11.25,10.90275
368,20010619,EWST,11.5,10.953249999999999
369,20010620,EWST,11.5,11.007249999999999
370,20010621,EWST,13.0,11.132249999999999
371,20010622,EWST,12.5,11.194749999999999
372,20010625,EWST,11.5,11.21975
373,20010626,EWST,11.99,11.29425
374,20010627,EWST,11.52,11.33275
375,20010628,EWST,11.52,11.373750000000001
376,20010629,EWST,11.8,11.426250000000001
377,20010702,EWST,11.75,11.481250000000001
378,20010703,EWST,12.2,11.516250000000001
379,20010705,EWST,11.92,11.572500000000002
380,20010706,EWST,11.92,11.6435
381,20010709,EWST,11.69,11.6655
382,20010710,EWST,11.8,11.7055
383,20010711,EWST,12.0,11.743
384,20010712,EWST,12.0,11.768
385,20010713,EWST,11.8,11.808000000000002
386,20010716,EWST,11.8,11.848000000000003
387,20010717,EWST,11.74,11.872500000000002
388,20010718,EWST,11.5,11.872500000000002
389,20010719,EWST,11.0,11.847500000000002
390,20010720,EWST,11.25,11.760000000000002
391,20010723,EWST,9.3,11.600000000000003
392,20010724,EWST,10.45,11.547500000000003
393,20010725,EWST,10.85,11.4905
394,20010726,EWST,12.34,11.531500000000001
395,20010727,EWST,12.25,11.568000000000001
396,20010730,EWST,12.25,11.5905
397,20010731,EWST,12.1,11.608
398,20010801,EWST,12.0,11.598
399,20010802,EWST,12.0,11.602
400,20010803,EWST,12.1,11.611
401,20010806,EWST,12.0,11.626500000000002
402,20010807,EWST,12.39,11.656
403,20010808,EWST,12.25,11.6685
404,20010809,EWST,12.25,11.681000000000001
405,20010810,EWST,12.05,11.6935
406,20010813,EWST,12.15,11.711
407,20010814,EWST,12.24,11.736
408,20010815,EWST,12.25,11.7735
409,20010816,EWST,12.2,11.833499999999999
410,20010817,EWST,12.25,11.8835
411,20010820,EWST,12.297,12.033349999999999
412,20010821,EWST,12.2,12.120849999999999
413,20010822,EWST,12.32,12.194349999999998
414,20010823,EWST,12.35,12.194849999999999
415,20010824,EWST,12.49,12.206849999999998
416,20010827,EWST,12.45,12.216849999999997
417,20010828,EWST,12.25,12.224349999999998
418,20010829,EWST,12.25,12.236849999999999
419,20010830,EWST,12.2485,12.249274999999997
420,20010831,EWST,12.35,12.261774999999998
421,20010904,EWST,12.4,12.281775
422,20010905,EWST,12.6,12.292275
423,20010906,EWST,12.5,12.304775000000001
424,20010907,EWST,12.4,12.312275
425,20010910,EWST,12.498,12.334674999999999
426,20010917,EWST,12.3,12.342175
427,20010918,EWST,12.61,12.360674999999997
428,20010919,EWST,12.31,12.363674999999997
429,20010920,EWST,12.55,12.381174999999999
430,20010921,EWST,12.0,12.368675
431,20010924,EWST,12.35,12.371325
432,20010925,EWST,12.73,12.397825000000001
433,20010926,EWST,12.7,12.416825
434,20010927,EWST,12.594,12.429025
435,20010928,EWST,11.95,12.402025
436,20011001,EWST,12.4,12.399525
437,20011002,EWST,12.25,12.399525
438,20011003,EWST,12.3,12.402025
439,20011004,EWST,11.92,12.3856
440,20011005,EWST,11.4,12.3381
441,20011008,EWST,12.0,12.318100000000003
442,20011009,EWST,11.75,12.275600000000004
443,20011010,EWST,10.8668,12.193940000000003
